"latitude","longitude","altitude.m.","heading.deg.","curvesize.m.","rotationdir","gimbalmode","gimbalpitchangle","actiontype1","actionparam1","actiontype2","actionparam2","actiontype3","actionparam3","actiontype4","actionparam4","actiontype5","actionparam5","actiontype6","actionparam6","actiontype7","actionparam7","actiontype8","actionparam8","actiontype9","actionparam9","actiontype10","actionparam10","actiontype11","actionparam11","actiontype12","actionparam12","actiontype13","actionparam13","actiontype14","actionparam14","actiontype15","actionparam15","altitudemode","speed.m.s.","poi_latitude","poi_longitude","poi_altitude.m.","poi_altitudemode","photo_timeinterval","photo_distinterval","split"
51.2918859381692,16.7792638927025,120,79.8226026966069,17.3066461222271,0,0,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.48999229583518,0,0,0,0,0,129.799845916704,1
51.291971610885,16.7797411217558,120,79.8227816384004,0,0,0,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.48999229583518,0,0,0,0,0,129.799845916704,1
51.2920028660525,16.7799152278493,120,79.8230677782738,0,0,0,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.48999229583518,0,0,0,0,0,129.799845916704,1
51.2921585788247,16.7807826466846,120,335.457544871711,17.3066461222271,0,0,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.48999229583518,0,0,0,0,0,129.799845916704,1
51.292457803283,16.7806460143841,120,259.823165375639,17.3066461222271,0,0,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.48999229583518,0,0,0,0,0,129.799845916704,1
51.2923721341817,16.7801687785165,120,259.822579539039,0,0,0,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.48999229583518,0,0,0,0,0,129.799845916704,1
51.2920749986892,16.7785136265937,120,259.821732812637,0,0,0,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.48999229583518,0,0,0,0,0,129.799845916704,1
51.2918188321372,16.7770868076956,120,335.453597157208,17.3066461222271,0,0,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.48999229583518,0,0,0,0,0,129.799845916704,1
51.2921180520156,16.7769501525706,120,79.8214623148865,17.3066461222271,0,0,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.48999229583518,0,0,0,0,0,129.799845916704,1
51.2922037341397,16.7774273794166,120,79.8223090463432,0,0,0,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.48999229583518,0,0,0,0,0,129.799845916704,1
